name,prefecture_code,address,access,description,period,checkin,checkout,phone,contact_link
武嶋キャンプ場,28,兵庫県西脇市大木町,"●車●
中国自動車道滝野・社IC下車約25分
●電車●
JR本黒田駅下車タクシーで約10分",テントサイト、広場、簡易トイレなど,通年営業,フリー,フリー,0795-22-4000,https://www.city.nishiwaki.lg.jp/kakukanogoannai/kyouikuiinkai/seisyounencenter/seishounenkenzenikusei/1360310041843.html
阪南市鳥取池緑桜の園,27,大阪府阪南市桑畑548-19,阪和自動車道・阪南ICより5.5㎞、車で約15分。または泉南ICより7.5㎞、車で約20分。,管理棟、テント専用サイト、炊事場、かまど、水洗トイレなど,通年営業,フリー,フリー,072-471-5678,https://www.city.hannan.lg.jp/kakuka/syogai/syogai_s/sakuranosono/index.html
中垣内教育キャンプ場,28,兵庫県たつの市揖西町中垣内,,"収容テント数：60
炊事場
トイレ
要予約（前日前出に市役所への届け出が必要）
",通年営業,要確認,要確認,0791-64-3180,https://www.city.tatsuno.lg.jp/shakaikyouiku/manabinosupesu/nakagaitikyouikukyannpuzyou.html
市ノ池公園キャンプ場,28,兵庫県高砂市阿弥陀町徳301,"●車●
山陽自動車道加古川北IC下車約30分
●電車●
JR山陽本線宝殿駅下車車で約13分、20時まで使用可。照明もあるので、夜遅くのバーベキューもOK（オンシーズンの平日及びオフシーズンは夜間利用不可）テントサイトは有料",バーベキューサイト、テントサイト、シャワー棟、管理棟など,"シーズン営業4月から10月まで（夏・春休み期間除く）の土曜日・日曜日及び祝日
夏休み・春休み期間の全日
※利用できる期間内でも、市や相談所等の行事により利用できない日あり要確認",10：00,10：00,"079-447-6401 ",https://www.csg-zaidan.or.jp/kouen/ichinoike-kouen/
鴨池キャンプ場,28,兵庫県小野市来住町1224-1,,"炊事場
トイレ
鴨池グラウンド",シーズン営業4月1日~10月31日,要確認,要確認,0794-63-1929,https://www.city.ono.hyogo.jp/1/8/33/16/a348/
川代公園キャンプ場,28,兵庫県丹波市山南町上滝1502-1,"●車●
舞鶴若狭自動車道丹南篠山口IC下車約20分",炊事棟、トイレ、夜間照明、ファイヤーサークル、バーベキュー場など,通年営業,フリー,フリー,0795-88-5115,https://www.city.tamba.lg.jp/site/corona/kawashirokouennshiyoushinnsei.html
木谷山キャンプ場,28,兵庫県西脇市郷瀬町605,お車でお越しください,"・テントサイト
・炊飯場
・水洗トイレ
・東屋

※ゴミは持ち帰り
※自転車の乗り入れ不可
※禁止事項：ペット・花火・直火",通年営業,フリー,フリー,0795-22-4000,https://www.city.nishiwaki.lg.jp/kakukanogoannai/kyouikuiinkai/seisyounencenter/seishounenkenzenikusei/1360221134228.html
筱見四十八滝キャンプ場,28,兵庫県丹波篠山市筱見561,"■公共交通機関でお越しの場合
JR宝塚線「篠山口駅」からバス50分、丹波東雲バス停下車、徒歩20分

■お車でお越しの場合
車国道173号線小田中（丹波東雲バス停）より5分","トイレ１棟（汲み取り式。トイレットペーパーはご持参下さい）
炊事場（炊事場の水は飲めませんのでご持参下さい）
","シーズン営業4月1日～9月15日
※上記以外の期間は管理及び狩猟期間になりますので、安全の為ご利用になれません。",フリー,フリー,079-556-3171,https://www.city.tambasasayama.lg.jp/soshikikarasagasu/chiikicommunityka/kanko_bunka/1/5656.html
泉の森ふれあいキャンプ場,14,神奈川県大和市上草柳1794,"●車●
東名自動車道横浜町田IC下車約10分
●電車●
相鉄線相模大塚駅下車徒歩約15分",受付、炊事場、内かまど、外かまど、野外卓、遊具、トイレ、広場など,通年営業（デイキャンプのみ）,9:00,16:00(7月・8月は18:00まで),046-260-5795,https://www.yamato-zaidan.or.jp/izumicamp/fureaicamp
稲城ふれあいの森,13,東京都稲城市坂浜1307,中央道・稲城ICより7km、車で約15分。,管理棟、テントサイト、炊事場、かまど、キャンプファイヤ場、自然観察場、各種広場など,シーズン営業3月中旬から11月まで(一般利用できる期間は定められております。詳しくは現地へお問い合わせください。),10:00,10:00,042-378-2111,https://www.city.inagi.tokyo.jp/smph/shisetsu/sports/yagai/hureainomori.html
宇都宮市森林公園,9,栃木県宇都宮市福岡町1074-1,"●車●
東北自動車道宇都宮IC下車約15分",管理棟、テントサイト(約20張)、炊事場、バーベキュー場、自動販売機、遊具、多目的スペース、展コーナー、農産物販売(土日祝のみ)など,シーズン営業4月1日～10月末まで,11:00,10:00,028-652-3450,http://forestpark-utsunomiya.jp/stay/index.html
小滝沢キャンプ場,8,茨城県高萩市大能字土岳,"●車●
高萩I.Cから車で15分
国道461号線里見方面へ進み、花貫ダム左手に進み、トンネル2つ抜けてすぐに左へ入る

●電車●
JR常盤線高萩駅より車で20分",汐見滝吊橋・花貫川・土岳ハイキングコース,通年営業,要確認,要確認,0293-23-7316,http://www.takahagi-kanko.jp/page/page000032.html
赤城ふれあいの森　SUBARUふれあいの森　赤城,10,群馬県前橋市富士見町赤城山1-2,"●車●
前橋IC下車約40分
●電車●
JR前橋駅下車バス40分",管理棟、テントサイト、バンガロー、間伐学習館、ローラーすべり台など,シーズン営業1月5日から12月27日まで(キャンプ施設は7月1日～8月31日),13:00～15:00,10:00,027-287-8806,https://gunmori.or.jp/shinrin
練馬区立秩父青少年キャンプ場,11,埼玉県秩父市浦山304,"●車●
関越自動車道花園IC下車約70分
",管理棟、バンガロー、テント、炊事場、トイレ、シャワー室など,シーズン営業5月1日から10月31日まで,11:00～17:00,10:00,03-5984-4691,https://www.city.nerima.tokyo.jp/kosodatekyoiku/kyoiku/seishonen/camp/moushikomi.html
長南町野営場,12,千葉県長生郡長南町蔵持,"●車●
圏央道市原鶴舞IC下車約15分",テントサイト、広場,シーズン営業6月1日～8月31日まで,要確認,要確認,0475-46-3397,https://www.town.chonan.chiba.jp/shoukai/kankou/502/
県立赤城公園キャンプ場,10,群馬県前橋市富士見町赤城山32,"●車
関越自動車道　前橋ICより約60分、赤城ICより約50分
●公共機関
前橋駅よりバス80分「富士見温泉」行き「富士見温泉」乗換え「赤城ビジターセンター」行き「湖尻厚生団入口」徒歩15分
※土日祝日は「県立赤城公園ビジターセンター」まで直通バスの運行あり",キャンプサイト(10区画)、車中泊エリア(4区画)、炊事場、水洗トイレ、など,シーズン営業4月下旬～11月中旬　※利用期間は気温や降積雪状況によって変動します。,12:00～17:00,～10:00,027-287-8402,https://www.pref.gunma.jp/04/e23g_00061.html
東山ファミリーランド,15,新潟県長岡市栖吉町3447,関越自動車道・長岡ICより12km、車で約25分。,管理棟、テント専用サイト(約50張)、売店、自動販売機、レストラン、炊事場、水洗トイレなど,シーズン営業4月第2土曜～11月第2日曜まで,フリー,フリー,0258ー34-2225,http://www.shiei-ski.com/family/schedule.html#5
大池いこいの森キャンプ場,15,新潟県上越市頸城区日根津116-1,北陸自動車道・上越ICより14km、車で約20分。大潟スマートICより9.5km、車で約15分。,テント専用サイト(約140張)、炊事場、バーベキュー場、遊具、多目的広場、水洗トイレなど、環境保全協力金 テント1張りにつき500円（任意）,シーズン営業4月上旬～11月下旬まで,フリー,フリー,025-530-3160,https://niigata-kankou.or.jp/spot/8474
八方台いこいの森,15,新潟県長岡市栖吉8547-38,関越自動車道・長岡ICより12km、車で約25分。,キャンプサイト(日帰り)、わんぱく広場、遊具、湿生植物園、遊歩道、水洗トイレなど,シーズン営業5月上旬～11月中旬（降雪等で変更する場合あり）,フリー,フリー,0258-52-5090,https://www.city.nagaoka.niigata.jp/shisetsu/sports/happoudai.html
墓ノ木自然公園キャンプ場,16,富山県下新川郡入善町墓ノ木,"・車／「入善スマートIC」から車で10分（ETC搭載車のみ）、「朝日IC」から車で20分、「黒部IC」から車で15分。
・電車／JR「入善駅」から車で20分","・テントサイト
・トイレ
・かまど
",通年営業（冬季間（12～3月）は利用不可）,フリー,フリー,0765-72-3837,https://www.town.nyuzen.toyama.jp/gyosei/soshiki/sumai_machidukuri/3/2/1196.html
雨晴松太枝浜キャンプ場,16,富山県高岡市太田東矢木4753-1,・能越自動車道高岡ICから国道8号、県道24号、国道415号で雨晴海岸へ。松太枝浜海水浴場目標に現へ。高岡ICから15km。,"・テントサイト　50張分
・炊事棟
・水シャワー
・売店（夏）
・トイレ",シーズン営業5月1日～11月末（7月1日～8月31日の利用については管理協力費（1グループ1日500円）の支払い要）,フリー,フリー,0766-44-6200,https://www.city.takaoka.toyama.jp/midori/kanko/camp/amaharashi.html
嘉例沢森林公園,16,富山県黒部市嘉例沢峰平,"・JR北陸線黒部駅から車で40分
・黒部ICから車で約40分","・テントサイト　100張分
・炊事場・かまど
・水道
・トイレ
・遊歩道",シーズン営業6月1日～10月末,フリー,フリー,0765-54-2111,https://www.city.kurobe.toyama.jp/info/facdtl.aspx?faccd=9900000135
剱岳青少年旅行村キャンプ場,16,富山県中新川郡上市町伊折,・北陸自動車道立山ICから県道3号で上市市街。一般道、県道46号で馬場島方面に進み、県道333号約15kmで現。立山ICから25km,"・テントサイト　50張分
・バンガロー
・風呂
・ランドリー
・売店
・レストラン
・炊事棟
・トイレ
・ファイヤーサークル
・野外炉",シーズン営業5月中旬～11月(宿泊施設は4月中旬～1月上旬),フリー※宿泊施設はイン15:00,フリー※宿泊施設はアウト9:00,076-472-3080,https://www.town.kamiichi.toyama.jp/hp/spot/index01.html
刈安山森林自然公園,18,福井県あわら市清滝,芦原温泉駅から車で30分,"・水洗トイレ（多目的トイレ有）
・展望台
・東屋
・水車小屋（山頂から５ｋｍ）",シーズン営業4月下旬～10月下旬,フリー,フリー,0776-73-8029,http://www.city.awara.lg.jp/mokuteki/industry/kanko/sizen/p000261.html
みのわダム樽尾沢キャンプ場,20,長野県上伊那郡箕輪町長岡新田,"●車●
中央自動車道伊北IC下車約30分
●電車●
JR沢駅下車車で約20分",トイレ、炊事場、水道他,通年営業,フリー,フリー,0265-79-3111,https://www.town.minowa.lg.jp/sangyo/sangyo035.html
峠の森自然公園,7,福島県伊達郡川俣町飯坂字上切伏内,"東北自動車道福島西I.Cから26km
東北自動車道二本松I.Cから26km
JR東北新幹線福島駅から24km",,シーズン営業4月～11月（冬季間閉鎖）,フリー,フリー,024-566-2111,https://www.town.kawamata.lg.jp/site/kanko-event/tougenomori.html
背あぶり山レストハウス,7,福島県会津若松市湊町赤井彦左エ門甲4607-1,会津若松駅から「東山温泉行き」線乗車→東山温泉入口から、せあぶり山・山頂まで１６キロメートル,"総サイト数３０
","シーズン営業毎年４月下旬～１１月末日（「背あぶり山」までの県道閉鎖のため）
",10：00〜15：00,,0242-27-0111,https://aizu-sportspark.jp/facilities/e_seaburi.html
秋山浜キャンプ場,7,福島県郡山市湖南町赤津,磐越自動車道磐梯熱海ICから県道24号、国道49号で猪苗代湖方面へ。上戸交差点で県道9号へ左折し、県道376号経由して現へ。磐梯熱海ICから30km,"トイレ
炊事場",通年営業,要確認,要確認,024-924-2621,https://www.city.koriyama.lg.jp/soshikinogoannai/sangyokankobu/kankoka/gomu/1/4/24360.html
夏井川渓谷キャンプ場,7,福島県いわき市小川町上小川字江田内,磐越自動車道三和ICより約30分,"・テント30張、定員約100名

・公衆便所　有

・炊飯施設　有

・水道設備　有",通年営業,要確認,要確認,0246-22-7480,http://www.city.iwaki.lg.jp/www/contents/1001000002652/index.html
崎川浜キャンプ場,7,福島県会津若松市湊町静潟字平浜,猪苗代磐梯高原ICから約20km,,シーズン営業5月初旬～10月末（11月に入るとトイレ、炊事場の利用ができなくなるがキャンプは可能）,フリー,フリー,024-924-2621,https://www.aizukanko.com/spot/343
西蔵王公園キャンプ場,6,山形県山形市岩波上桜田内,車:山形自動車道山形蔵王ICから国道286号で山形市街方面へ進み、東山形の交差点から西蔵王高原ライン進み、西蔵王公園の看板から右折して現へ。山形蔵王ICから17分,テントサイト(25サイト)、炊事場、キャンプファイヤーサークル、水洗トイレ、自由広場、日本の花園、森の遊び場、アスレチック広場、休憩施設、冒険広場、バーベキュー広場、冒険広場、展望広場など,シーズン営業4月下旬～11月下旬,10:00,10:00,023-655-5900,http://park.montedio.co.jp/zao/guide.html
白兎葉山森林公園,6,山形県長井市白兎内,米沢南陽道路南陽高畠ICから国道113号赤湯バイパス長井方面へ。南陽市街抜け、飯豊町へ。道の駅いいで手前の交差点右折し、県道10号・11号で白鷹方面へ。白兎で葉山森林公園入口の看板左折して現へ。南陽高畠ICから39km,"サイト数・状況	テント専用約20張り収容、サイトは草
場内施設	炊事棟、トイレ、交流施設",シーズン営業4月下旬～11月末,フリー,フリー,0238-84-6337,https://yamagatakanko.com/attractions/detail_4655.html
山形県県民の森野営場,6,山形県東村山郡山辺町畑谷1933-42,山形自動車道山形蔵王ICから国道286号・348号で白鷹方面へ。途中、南館交差点で直進して県道17号に進み現へ。山形蔵王ICから19km,"サイト数・状況	テント専用約38張り収容、サイトは土
場内施設	炊事棟、トイレ、ファイヤーサークル",シーズン営業7月1日～9月末,12:00,21:00,023-666-2116,http://ymidori.or.jp/kenmori/facility/index.html
立谷沢南部山村広場,6,山形県東田川郡庄内町立谷沢字玉川,日本海東北自動車道酒田ICから国道7号広田ICへ向かい、国道47号へ右折して庄内町へ。庄内町清川区から県道45号に入り、滝の沢橋渡り県道344号へ直進。月の沢温泉目標に進み、玉川橋渡ってすぐに左折。酒田ICから43km,サイト数・状況オートフリー約50張り収容、サイトは芝・土、トイレ、水場、多目的広場,シーズン営業５月～10月,フリー,フリー,0234-56-2213,https://www.navishonai.jp/spot/12.html
秋田県立中央公園ファミリーキャンプ場,5,秋田県秋田市雄和椿川字軽井沢,秋田空港から　車／5分,キャンプサイト、炊事場、シャワー、洗濯機、フィールドアスレチック、マウンテンバイクコース、パークゴルフコース　など,"シーズン営業4月下旬から11月中旬頃まで。＜日帰り＞
9:30～16:00　※4月～5月・9月～11月
9:30～17:30　※6月～8月（日帰り時間内であれば、無料です。
※日帰りでも時間内以降の退園の場合料金が発生いたします。）",17:00までに入場,17:00,018-886-3131,http://www.akisouko.com/chuo/info.html
仙南カントリーパーク,5,秋田県仙北郡美郷町金沢北沢54,後三年駅より車１０分,"キャンプ場
野外ステージ
展望台
野球場",シーズン営業４月～１１月（町内無料　町外有料）,要確認,要確認,0187-84-4910,https://www.town.misato.akita.jp/kanko/play/
南の池公園・キャンプ場,5,秋田県南秋田郡大潟村南2-17,秋田自動車道琴丘森岳ICから県道37号大潟村方面へ出て、鹿渡交差点で県道54号へ直進。つきあたり県道42号左折し現へ。琴丘森岳ICから14km,"サイト数・状況	テント専用約200張り収容、サイトは芝生
場内施設	炊事棟、トイレ",シーズン営業4月上旬～11月下旬,フリー,フリー,0185-45-2115,http://www.vill.ogata.akita.jp/sightseeing/park.html
能代市毘沙門憩いの森,5,秋田県能代市常盤毘沙門127-2,JＲ能代駅下車　車で約４０分,"常設テント　１０張
・バンガロー　３棟（4人用　床面積約13.5平方メートル　二段ベット２組設備）
　その他、管理棟・炊事場・くみ取りトイレ・公衆電話・自動販売機
","シーズン営業４月２０日～１１月１０日（冬期間閉鎖）
・入場無料
　・バンガロー１棟１回（一泊）
　　２，３９０円
　・常設テント１回（一泊）５９０円
　（持ち込みテントは無料）
　・バッテリーカー　１回１００円
　・バーベキュー用鉄板貸し出し無料",フリー,フリー,0185-89-2250,https://www.city.noshiro.lg.jp/sangyo/norin/jigyo/norin-seibi/7492
きみまち阪キャンプ場,5,秋田県能代市二ツ井町小繋,秋田自動車道二ツ井白神ICから国道7号大館方面へ。道の駅ふたついの手前、きみまち阪交差点看板に従い右折して現へ。二ツ井白神ICから8km,"サイト数・状況	テント専用約50張り収容、サイトは草・土
場内施設	炊事棟、トイレ",シーズン営業4月中旬～11月末,フリー,フリー,0185-73-2835,https://akita-fun.jp/
親子ふれあいオートキャンプ場,5,秋田県北秋田市森吉森吉山麓高原1,秋田内陸縦貫鉄道阿仁前田駅より車で40分,"○オートキャンプサイト60区画
○管理棟（青少年野外活動センター）
　・キャンプサイト受付
　・キャンプ用品レンタル
○サニタリー3棟（トイレ、炊事場）",シーズン営業6月1日～10月末,フリー,フリー,090-7064-7867,https://akita-fun.jp/
大小屋ファミリーランド,5,秋田県由利本荘市岩野目沢石森4-13,【電車】JR羽後岩谷駅から40分【車】秋田自動車道大曲ICから車で40分,"ロッジ
テントサイト／３０カ所",シーズン営業5月～10月※積雪の関係で遅れることがあり,17:00,9:30,0184-67-2313,https://yurihonjo-kanko.jp/yrdb/oogoya/
大清水園キャンプ場,5,秋田県由利本荘市千代沢国有林,【車】由利高原鉄道矢島駅から80分,テントサイト５０、避難小屋、山荘、炊事場、トイレ,シーズン営業5月～10月※積雪のない時期,要確認,要確認,0184-57-2205,https://akita-fun.jp/
大平キャンプ場,5,秋田県由利本荘市鳥海町上笹子大平35-5,湯沢横手道路須川ICから県道51号須川交差点へ出て国道13号へ左折。JR院内駅過ぎ、国道108号へ左折し、由利本荘方面へ。堺台交差点で県道70号へ左折し、そのまま丁川沿いに直進して現へ。須川ICから31km,"サイト数・状況	テント専用約150張り収容、サイトは草
場内施設	炊事棟、トイレ、夜間照明",開設 6月上旬〜10月下旬,フリー,フリー,0184-57-2205,https://akita-fun.jp/
法体園キャンプ場,5,秋田県由利本荘市鳥海町百宅奥山3-1,湯沢横手道路雄勝こまちICから国道13号・108号で由利本荘市鳥海町へ。堺台交差点で県道70号に入り、一般道経由して法体の滝方面へ。雄勝こまちICから43km,"テントサイト100、炊事場、トイレ、レストハウス、東屋、ロッジ、バリアフリートイレ
",シーズン営業５月下旬～１０月下旬,フリー,フリー,0184-57-2205,https://www.city.yurihonjo.lg.jp/
祓川キャンプ場,5,秋田県由利本荘市矢島鳥海山五合目祓川,秋田自動車道雄勝こまちICから国道13号・108号で由利本荘市矢島方面へ。県道32号・58号にかほ市象潟方面へ進み、一般道で竜ヶ原湿原目指して現へ。雄勝こまちICから61km,テントサイト２０、管理棟、炊事場、トイレ、展望台,シーズン営業６月～９月,フリー,フリー,0184-55-4953,https://akita-fun.jp/
達居森と湖畔自然公園キャンプ場,4,宮城県黒川郡大衡村大瓜牛野9,東北道・大衡ICより11km、車で約25分。,フリーサイト(約25張)、炊事場、東屋、水洗トイレ、駐車場など,通年営業,フリー,フリー,022-345-5111,https://www.village.ohira.miyagi.jp/soshiki/14/3678.html
新堤自然公園レークキャンプ広場,4,宮城県栗原市高清水町勝負ヶ町84-1,東北道・築館ICより8km、車で約15分。,テントサイト、炊事場、キャンプファイヤ場、トイレ、駐車場など,通年営業,フリー,フリー,0228-58-2111,https://www.kuriharacity.jp/soshiki/gaiyo/20180606112904.html
旗坂野営場,4,宮城県黒川郡大和町吉田桝沢,東北道・大和ICより27km、車で約1時間。,駐車場、テントサイト、炊事場、バーベキュー場、トイレなど,シーズン営業4月下旬～10月下旬まで,フリー,フリー,022-345-1111,https://www.town.taiwa.miyagi.jp/
遠刈田公園キャンプ場,4,宮城県刈田郡蔵王町遠刈田温泉,遠刈田温泉湯の町バス停で降車。歩いて約10分,"オートキャンプ場ではありません。お車は駐車場へ停めてください

▼ご確認ください▼
・キャンプ目的で使用される団体（個人）の責任者は事前に使用届提出する必要があります。
　申請書は利用当日に持参していただくか、事前に郵送で提出してください
・火使う場合、かまど以外での使用は禁止です。
　また、火災防止のため火の始末は確実に行ってください。
・公園及び周辺の木々切ったり、野草掘ったり、又建物その他構造物破損しないようにしてください。
・駐車場以外への車両の乗入れは禁止です。
・ごみ、残飯等は各自お持ち帰りください。
・使用後の整理、清掃（水飲み場等）は必ず行ってください。
・野生動物（熊、イノシシ等）が姿現す場合がありますのでご注意ください。",通年営業,フリー,フリー,0224-33-2214,https://www.town.zao.miyagi.jp/section/kensetsu/douro/koen_riyou.html
白浜ビーチパーク,4,宮城県石巻市北上町十三浜白浜,"石巻駅より車で50分
三陸自動車道河北ICより車で30分","炊事場
東屋
トイレ
更衣室(海水浴場開設期間のみ)
シャワー(海水浴場開設期間のみ)
","シーズン営業4/1~11/30
",8:00,日没,090－6639－5153,https://www.shirahama-beach.com/
折爪岳オートキャンプ場,3,岩手県二戸市福岡織詰,八戸自動車道一戸ICから国道4号で二戸方面へ。市街手前から県道24号で九戸村方面へ進み、一般道で折爪岳山頂目指して現へ。一戸ICから15km,管理棟、食堂、炊事棟、トイレ、温水シャワーなど,シーズン営業4月下旬～11月末,12:00,10:00,0195-23-7599,https://www.city.ninohe.lg.jp/info/336
盛岡市外山森林公園キャンプ場,3,岩手県盛岡市玉山区薮川大の平31-1,東北自動車道盛岡ICから国道46・4号・455号で岩泉方面へ。入口看板で右折し現へ。盛岡ICから25km,管理棟、売店、炊事棟、トイレ、自動販売機、食堂、夜間照明、ファイヤーサークル、子供の遊具、多目的広場、BBQ場,シーズン営業7月1日～9月1日,14:00,10:00,019-681-5132,https://www.city.morioka.iwate.jp/kankou/taiken/1000894.html
つぶ沼広場キャンプ場,3,岩手県奥州市胆沢区若柳谷子沢,東北自動車道水沢ICから国道4号・397号で石淵方面へ。石淵ダム先の左手に現。水沢ICから30km,炊事棟、オートサイト電源なし(5区画)、トイレなど,シーズン営業4月下旬～11月15日,フリー,フリー,0197-34-0313,https://www.city.oshu.iwate.jp/map/18416.html
花泉運動公園キャンプ場,3,岩手県一関市花泉町花泉伊勢沢22,東北自動車道一関ICから約30分,,シーズン営業5月～10月末,フリー,フリー※宿泊施設はイン17:00まで,0191-82-1086,http://www.ichinoseki-sports.or.jp/shisetsu/hanaizumi/camp.html
刈生沢の滝渓流公園,3,岩手県一関市花泉町金沢,東北自動車道一関ICから国道342号で一関市街へ。さらに登米方面へ進み、花泉で県道21号へ左折、藤沢方面へ進み一般道経由で現へ。一関ICから25km,炊事棟、トイレ、夜間照明、多目的広場など,通年営業,フリー,フリー,0191-82-2211,https://www.ichitabi.jp/spot/data.php?p=115
黄金山キャンプ場,3,岩手県一関市千厩町小梨,東北自動車道一関ICから国道342号・4号・284号で千厩町千厩へ。前田交差点で一般道へ右折、新峠方面へ進み9kmで現。一関ICから26km,,シーズン営業５月１日～１０月３１日,フリー,フリー,0191-52-2496,https://iwatetabi.jp/spot/detail.spn.php?spot_id=368
姉吉キャンプ場,3,岩手県宮古市重茂姉吉,"アクセス
JR宮古駅からバスで70分　バス停姉吉下車徒歩約20分
JR宮古駅から車で45分
東北自動車道盛岡南ICから車で160分",,通年営業（日帰り専門）,,日帰り専門,0193-68-2316,https://www.city.miyako.iwate.jp/kanko/canp_stop.html
玉川野営場,3,岩手県九戸郡野田村玉川,〔最寄駅〕三陸鉄道　野田玉川駅から約1km,,シーズン営業５月１日～１０月３１日,フリー,フリー,0194-78-2963,https://www.noda-kanko.com/kankou/stay/tamagawacamp.html
久慈平岳キャンプ場,3,岩手県九戸郡洋野町上舘第55割49-3,二戸駅 → 【バス120分】 向田バス停 → 【徒歩60分】 久慈平岳キャンプ場、軽米IC → 【車60分】 久慈平岳キャンプ場,,5月1日～11月15日営業,フリー,フリー,0194-77-2111,https://iwatetabi.jp/spot/detail.spn.php?spot_id=92
姫神山一本杉園地キャンプ場,3,岩手県盛岡市玉山区馬場前田33-162,東北自動車道滝沢ICから国道4号で玉山方面へ。渋民の先、芋田で一般道へ右折し約5km。滝沢ICから15km,炊事棟、トイレ、夜間照明など,シーズン営業4月上旬～11月下旬,フリー,フリー,019-683-3852,https://www.city.morioka.iwate.jp/shisetsu/sports/koen/1035887.html
二戸市民の森,3,岩手県二戸市金田一大清水,いわて銀河鉄道線 金田一温泉駅より車で約18分,トイレ(非水洗)、炊事場など,要確認,フリー,フリー,0195-23-3111,https://iwatetabi.jp/spot/detail.spn.php?spot_id=1064
稲庭岳キャンプ場,3,岩手県二戸市浄法寺町山内73,八戸自動車道浄法寺ICから県道6号で安代方面へ。たから橋で県道181号へ右折し約6km。浄法寺ICから15km,管理棟、炊事棟、トイレ、ファイヤーサークル、子供の遊具、多目的広場など,シーズン営業5～10月,フリー,フリー,0195-38-4473,https://www.city.ninohe.lg.jp/info/2112
源兵衛平高原キャンプ場,3,岩手県宮古市刈屋第9割98-6,岩手刈屋駅から車で30分,,4月～10月,フリー,フリー,0193-72-2111,https://www.city.miyako.iwate.jp/index/sosiki/n_shisho.html
大間崎テントサイト,2,青森県下北郡大間町大字大間字大間平17-1,"下北駅からバスで100分（下北交通佐井線下り「大間崎」停留所下車）
大間崎から徒歩で1分","テントサイト
炊事棟
休憩所",シーズン営業4月中旬から10月,フリー,フリー,0175-37-2111,https://oma-wide.net/menu/oomazaki_camp/
椿山キャンプ場,2,青森県東津軽郡平内町東田沢横峰,小湊駅から車で30分,"冬期間は公衆トイレ・炊事場は凍結防止のため閉鎖（止水）しております。
 ※公衆トイレは11月末まで、炊事場は10月末までご利用できます。",通年営業,フリー,フリー,017-755-2118,"https://www.town.hiranai.aomori.jp/index.cfm/7,132,30,129,html"
わかさぎ公園浜台キャンプ場,2,青森県上北郡東北町熊堂3-4,【車】第二みちのく有料道路上北ICから20分,シャワー、水洗トイレ、管理棟,シーズン営業5～10月末,フリー,フリー,0175-62-2581,https://www.aptinet.jp/Detail_display_00000611.html
青森県民の森梵珠山キャンプ場,2,青森県青森市浪岡大釈迦字沢内沢1-1,"JR青森駅前弘南バス乗り場より、五所川原行き乗車、大釈迦北口下車。バス停より自然ふれあいセンターまで4km（徒歩約40分）
JR奥羽本線、大釈迦駅下車（登山口まで5km、徒歩約1時間）",テント:10張（4～6人用）、水洗トイレ（車椅子可）,シーズン営業開設期間:6月上旬～9月下旬,フリー,フリー,0172-62-4527,https://www.aptinet.jp/Detail_display_00000097.html
滝ノ沢ふるさと砂防愛ランド,2,青森県北津軽郡中泊町中里区,不動の滝まで徒歩約20分。キャンプ場の利用は事前予約が必要。,"キャンプサイト
森のやぐら
せせらぎ広場",シーズン営業4月～11月,フリー,フリー,0173-57-2111,https://www.aptinet.jp/Detail_display_00000458.html
高野崎キャンプ場,2,青森県東津軽郡今別町袰月村下,東北自動車道青森ICから国道7号・280号で蟹田方面へ。さらに今別町方面へ進み、高野崎目標に現地へ。青森ICから60km,"サイト数・状況	テント専用約100張り収容、サイトは草
場内施設	管理棟、売店、炊事棟、トイレ、温水シャワー、夜間照明、自動販売機",4月下旬～10月末日まで,フリー,フリー,0174-35-3005,https://www.town.imabetsu.lg.jp/sightseeing/tourist/takanosaki.html
鶴居村キャンプ場,1,北海道阿寒郡鶴居村鶴居西8,釧路市内より道道53号、道道1093号経由で35km、車で約45分。,テント専用サイト(約100張)、自動販売機、炊事場、バーベキュー場、水洗トイレなど,シーズン営業5月1日～10月末,フリー,フリー,,
北海道立トムテ文化の森キャンプ場,1,北海道名寄市日進なよろ健康の森,道央自動車道・士別剣淵ICより30km、車で約45分。,管理棟、テント専用サイト(20区画)、炊事場、野外炉、バーベキュー場、自動販売機、水洗トイレなど,シーズン営業5月1日～10月末まで,フリー,フリー,,
山部自然公園太陽の里キャンプ場,1,北海道富良野市山部西19線,道東自動車道・占冠ICより41km、車で約55分。,管理棟、テント専用サイト(約500張)、宿泊棟、炊事場、売店、自動販売機、レストラン、ファイヤーサークル、テニスコート、パークゴルフ場、温水シャワー、洗濯機、水洗トイレ、アスレチック遊具など,シーズン営業5月上旬～10月中旬まで,フリー,フリー,,
東大沼キャンプ場,1,北海道亀田郡七飯町東大沼,道央自動車道・大沼公園ICより10㎞、車で約20分。,テント専用サイト、炊事場、トイレなど,シーズン営業5月上旬～10月下旬まで,フリー,フリー,,
キムアネップ岬キャンプ場,1,北海道常呂郡佐呂間町幌岩,網走市中心部からオヨ路50km、車で約55分。,テント専用サイト、炊事場、コインシャワー、トイレなど,シーズン営業6月上旬～9月まで,フリー,フリー,,
みさき台公園キャンプ場,1,北海道苫前郡初山別村豊岬みさき台公園内,,管理棟、テント専用サイト(約80張)、バンガロー9棟、炊事場、自動販売機、水洗トイレなど,"シーズン営業キャンプ場は4月下旬から10月下旬まで
バンガロー利用期間は、5月1日から10月31日までの6ヶ月間",13:00,12:00,,
